股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ001236,弘业期货,12.01,-0.74,-5.8,545.7,47319957,585302829.77,46.95,172.499,0.25,12103411114
SZ001258,立新能源,17.37,-0.63,-3.5,413.91,70892149,1239469085.9,30.38,98.713,0,16212000012
SZ001270,铖昌科技,109.1,0.4,0.37,403.23,3824868,426859786.43,13.68,71.994,0,12198792409
SZ300565,科信技术,54.54,4.64,9.3,364.17,32037737,1634027229.7,17.01,,0,11344320000
SZ000670,盈方微,9.76,-0.29,-2.89,333.78,132627355,1323875197.36,22.04,969.426,0,7970283034
SZ301312,智立方,141.79,-1.31,-0.92,96.03,917900,131480920.5,8.97,57.809,0,5805274224
SH688337,普源精电-U,89.6,3.56,4.14,47.17,1044625,93517702,4.12,241.434,0,10869336038
SZ002478,常宝股份,6.25,-0.02,-0.32,47.1,81724295,500052798.67,14.04,25.93,1.28,5640972413
SZ300217,东方电热,7.84,0.36,4.81,39.37,55609860,431183079.99,4.69,41.173,0.255,11299138779
SH688212,澳华内镜,52.39,-0.61,-1.15,39.21,421128,22003175,1.47,131.955,0.363,6985682600
SZ000755,山西路桥,5.63,0.02,0.36,21.86,23037000,129592300,3.78,15.384,0,8260956403
SH600288,大恒科技,14.81,0.45,3.13,11.09,3411911,50269774,0.78,47.174,0.427,6469008000
SH603639,海利尔,26.25,-0.24,-0.91,9.11,3482389,91118269,1.04,16.244,3.81,8942531483
SZ002100,天康生物,11.67,0.08,0.69,9.07,22990307,266408636.55,1.7,,0,15804404444
SH600713,南京医药,5.14,-0.08,-1.53,7.39,13099791,67417186,1.26,10.92,2.335,6727340002
SZ000523,广州浪奇,3.38,-0.05,-1.46,1.2,5355742,18158286.74,0.39,3.664,0,5449980053
SH688209,英集芯,24.12,0.82,3.52,-0.3,3185239,76674495,8.68,46.276,0.158,10130400000
SH600602,云赛智联,6.43,0.03,0.47,-0.31,7467843,47968120,0.7,37.614,0.886,8794140316
SH600073,上海梅林,7.74,-0.1,-1.28,-3.08,10539706,81574474,1.12,21.776,1.292,7258026113
SH688606,奥泰生物,115.69,0.3,0.26,-3.09,291381,33727869,1.28,3.579,3.458,6236170535
SZ002130,沃尔核材,7.72,-0.06,-0.77,-5.84,30548969,236237996.16,2.45,18.201,0.453,9726416899
SH601333,广深铁路,2.06,-0.02,-0.96,-8.04,28182744,58110383,0.5,,0,14592086220
SZ300656,民德电子,38.88,1.23,3.27,-11.98,3949217,153412939.8,3.41,73.893,0.214,6101850956
SZ300206,理邦仪器,11.96,-0.04,-0.33,-12.93,4968626,59230460.22,1.46,35.347,1.731,6957393278
SZ200028,一致B,16.82,-0.13,-0.77,-12.94,33400,562308,0.06,5.041,4.312,7201095854
SH688568,中科星图,66.96,0.28,0.42,-14.93,340243,22737524,0.32,72.603,0.275,16422660222
SZ002581,未名医药,18.16,1.06,6.2,-14.94,15929304,285401595.24,3.97,76.293,0,11980798242
SH603315,福鞍股份,22.18,0.43,1.98,-19.46,1871153,41037800,0.61,115.643,0,6809842536
SH600580,卧龙电驱,13.99,0.04,0.29,-22.71,19271979,268963388,1.48,17.228,1.072,18395347278
SZ300986,志特新材,34.76,-0.29,-0.83,-23.67,1732760,60919778.8,2.48,30.966,0.308,5696932255
SH688617,惠泰医疗,202.2,2.8,1.4,-27.38,467807,94480319,1.06,53.507,0.495,13480674000
SH603985,恒润股份,28.81,1.92,7.14,-29.64,13116192,370290426,3.81,52.656,0.267,12701119066
SH688680,海优新材,210.3,13.8,7.02,-30.93,2600611,536870805,5.23,46.392,0.29,17669406000
SH601222,林洋能源,8.16,0.01,0.12,-30.93,28489234,232411784,1.38,21.125,2.696,16810980313
SZ300219,鸿利智汇,9.01,0.02,0.22,-43.01,12975064,117763173.32,1.84,28.464,0,6378570989
SH600812,华北制药,6.18,-0.04,-0.64,-47.67,6075247,37548299,0.37,211.65,0.971,10603213687
